Query,KCC Ans
How can I prevent chillies from drying up during harvesting?,"To keep chillies from drying out during harvesting, mix 2 kg of Trichoderma with 50 kg of cow dung manure and apply it to the soil at the time of transplanting. This helps retain soil moisture and promotes healthy plant growth."
When is the best time to sow sugarcane?,The ideal time to sow sugarcane is between February and April. This ensures optimal growth conditions for the crop.
What should I do about worms in my gourd plants?,"To control worms in gourd plants, spray a neem-based biopesticide like azadirachtin at 5 ml per liter of water. Apply in the early morning or late afternoon for best results, and repeat every 7-10 days if needed."
Why are my okra leaves turning yellow?,Yellowing okra leaves may indicate a fungal issue. Apply mancozeb at 2 grams per liter of water as a foliar spray. Ensure proper drainage and avoid overwatering to prevent further issues.
How do I control pests in my coriander crop?,"For pest control in coriander, use a neem oil solution at 5 ml per liter of water. Spray evenly on the plants, focusing on the undersides of leaves, and repeat every 10 days. Always follow safety guidelines when using pesticides."
Why are my tomato leaves turning black?,Black tomato leaves are often caused by fungal diseases like blight. Spray mancozeb at 2 grams per liter of water every 7-10 days. Remove and destroy affected leaves to prevent the spread.
What's the ideal plant-to-plant distance for crops?,"The recommended plant-to-plant distance varies by crop, but for most vegetables, maintain 10-12 meters between rows and 10-12 meters between plants within a row. Check specific crop guidelines for precision."
How should I treat groundnut seeds before planting?,Treat groundnut seeds with thiram at 2.5 grams per kg of seeds to protect against fungal diseases. Mix thoroughly and sow immediately for best results.
How can I control weeds in my maize field?,"To control weeds in maize, apply atrazine 50 WP at 2 liters per 800 liters of water as a pre-emergence spray within 2-3 days of sowing. Follow up with manual weeding if needed."
What should I do about rust in my wheat crop?,"To manage wheat rust, spray propiconazole at 500 ml per hectare in 700-800 liters of water. Apply at the first sign of rust and repeat after 15 days if necessary."
When and how much ginger seed should I sow?,Sow ginger in April-May using 15-18 quintals of seed per hectare. Ensure well-drained soil and treat seeds with carbendazim at 2 grams per liter of water to prevent rot.
Which pea varieties are good for growing with lentils?,"Recommended pea varieties for intercropping with lentils include Rachna, Hans Pusa-10, and BR-2. These varieties are compatible and yield well in mixed cropping systems."
How do I handle pest attacks on my pumpkin crop?,"For pest control in pumpkins, use a neem-based biopesticide like azadirachtin at 5 ml per liter of water. Spray every 7-10 days, targeting the undersides of leaves."
What's the best way to manage pests in my okra crop?,"To manage pests in okra, spray imidacloprid at 0.5 ml per liter of water. Apply in the early morning and repeat every 10-14 days. Always wear protective gear during application."
How can I treat blight in my tomato crop?,"To control tomato blight, apply mancozeb at 2 grams per liter of water mixed with streptocycline at 1 gram per liter. Spray every 7-10 days and remove affected plant parts."
